simple_sku,product_name,sale_price,discounted_price,discounted_percentage,currency,"Category lv1","Category lv2","Category lv3",picture_url,image_url_2,image_url_3,image_url_4,image_url_5,tracking_link,brand,app_tracking_link
CR788FAAA9AXAZANTH-19029853,"Crvid Fashion กระเป๋าสะพายพาดลำตัว Premium Crossbody （black）",1999.00,168.00,0,THB,"Bags and Travel","Women Bags","Cross Body & Shoulder Bags",https://th-live-02.slatic.net/p/7/crvid-fashion-premium-crossbody-black-1492492463-76262651-a4584ee6e145a36c19960c0d670a7df9-product.jpg,https://th-live-03.slatic.net/p/7/crvid-fashion-premium-crossbody-black-1492492463-76262651-cb901e49c9950972ce6b28ef2cc8c579-product.jpg,https://th-live-03.slatic.net/p/7/crvid-fashion-premium-crossbody-black-1492492463-76262651-40eab3eae24aea82dc51bf95fc951984-product.jpg,,,http://ho.lazada.co.th/SHHYVk?url=https%3A%2F%2Fwww.lazada.co.th%2Fcrvid-fashion-premium-crossbody-black-15626267.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=,crvid,http://ho.lazada.co.th/SHHWUy?sku=CR788FAAA9AXAZANTH&redirect=http%3A%2F%2Fho.lazada.co.th%2FSHHYVk%3Furl%3Dhttps%253A%252F%252Fwww.lazada.co.th%252Fcrvid-fashion-premium-crossbody-black-15626267.html%253Foffer_id%253D%257Boffer_id%257D%2526affiliate_id%253D%257Baffiliate_id%257D%2526offer_name%253D%257Boffer_name%257D_%257Boffer_file_id%257D%2526affiliate_name%253D%257Baffiliate_name%257D%2526transaction_id%253D%257Btransaction_id%257D%2526aff_source%253D%257Bsource%257D%26aff_sub%3D%26aff_sub2%3D%26aff_sub3%3D%26aff_sub4%3D%26aff_sub5%3D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=
BE760HBAA4QBRRANTH-10155444,"bbh ชุดแปรงแต่งหน้า 11 ชิ้น ขนแปรงนุ่ม ด้ามไม้ พร้อมถุงผ้าพกพา",690.00,179.00,0,THB,"Health & Beauty",Makeup,"Makeup Accessories",https://th-live-02.slatic.net/p/5/bbh-11-1493182372-5776497-d1302efe08f36d9957169e45bf2c55a4-product.jpg,https://th-live-01.slatic.net/p/5/bbh-11-1493182372-5776497-2b676c7e809ce243de3378b9510d2a1d-product.jpg,https://th-live-02.slatic.net/p/5/bbh-11-1473738318-5776497-73d6e9f06557dfb441e2d9b973bcde76-product.jpg,https://th-live-02.slatic.net/p/5/bbh-11-1473738318-5776497-5739509e19324d8f9a0bf81f4d3e4274-product.jpg,https://th-live-02.slatic.net/p/5/bbh-11-1473738318-5776497-828af59ea1d86c6ebe39ef3a4985ceb9-product.jpg,http://ho.lazada.co.th/SHHYVk?url=https%3A%2F%2Fwww.lazada.co.th%2Fbbh-11-7946775.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=,"beauty b' here",http://ho.lazada.co.th/SHHWUy?sku=BE760HBAA4QBRRANTH&redirect=http%3A%2F%2Fho.lazada.co.th%2FSHHYVk%3Furl%3Dhttps%253A%252F%252Fwww.lazada.co.th%252Fbbh-11-7946775.html%253Foffer_id%253D%257Boffer_id%257D%2526affiliate_id%253D%257Baffiliate_id%257D%2526offer_name%253D%257Boffer_name%257D_%257Boffer_file_id%257D%2526affiliate_name%253D%257Baffiliate_name%257D%2526transaction_id%253D%257Btransaction_id%257D%2526aff_source%253D%257Bsource%257D%26aff_sub%3D%26aff_sub2%3D%26aff_sub3%3D%26aff_sub4%3D%26aff_sub5%3D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=
UN355HAAA72UAWANTH-14961352,"FHS SWIFTY SHARP ที่ลับมีดไฟฟ้า เอนกประสงค์ (สีเขียว) สำหรับลับมีดลับของมีคม ลับกรรไกร ลับไขควง",850.00,172.00,0,THB,"Home Appliances","Small Kitchen Appliances","Electric Knives & Sharpeners",https://th-live-01.slatic.net/p/12/fhs-swifty-sharp-1487232676-69898811-4f0f04d95ece88e49454cc8b9069adc9-product.jpg,https://th-live-03.slatic.net/p/12/fhs-swifty-sharp-1487232676-69898811-cddfdb99ec8621571055464f60210ab1-product.jpg,https://th-live-01.slatic.net/p/12/fhs-swifty-sharp-1487232676-69898811-9ef14b0de04540961e786b32e31ba9f7-product.jpg,https://th-live-01.slatic.net/p/12/fhs-swifty-sharp-1487232676-69898811-2f806e838ad1e9e3078a7c8b9f7ed98d-product.jpg,https://th-live-03.slatic.net/p/12/fhs-swifty-sharp-1487232676-69898811-2e2245f555ae646f41f1bd1184effc6e-product.jpg,http://ho.lazada.co.th/SHHYVk?url=https%3A%2F%2Fwww.lazada.co.th%2Ffhs-swifty-sharp-11889896.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=,Unbranded/Generic,http://ho.lazada.co.th/SHHWUy?sku=UN355HAAA72UAWANTH&redirect=http%3A%2F%2Fho.lazada.co.th%2FSHHYVk%3Furl%3Dhttps%253A%252F%252Fwww.lazada.co.th%252Ffhs-swifty-sharp-11889896.html%253Foffer_id%253D%257Boffer_id%257D%2526affiliate_id%253D%257Baffiliate_id%257D%2526offer_name%253D%257Boffer_name%257D_%257Boffer_file_id%257D%2526affiliate_name%253D%257Baffiliate_name%257D%2526transaction_id%253D%257Btransaction_id%257D%2526aff_source%253D%257Bsource%257D%26aff_sub%3D%26aff_sub2%3D%26aff_sub3%3D%26aff_sub4%3D%26aff_sub5%3D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=
KI572ELAALZ9CHANTH-44350381,"Kingston Kingston Memory Card Micro SD SDHC 32 GB Class 10 คิงส์ตันเมมโมรี่การ์ด 32 GB",650.00,135.00,0,THB,Cameras,"Camera Accessories","Memory Cards",https://th-live-03.slatic.net/p/2/kingston-kingston-memory-card-micro-sd-sdhc-32-gb-class-10-32-gb-1501834318-90071963-14fcc9073a13910e6619b37f256bf8fc-product.jpg,,,,,http://ho.lazada.co.th/SHHYVk?url=https%3A%2F%2Fwww.lazada.co.th%2Fkingston-kingston-memory-card-micro-sd-sdhc-32-gb-class-10-32-gb-36917009.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=,Kingston,http://ho.lazada.co.th/SHHWUy?sku=KI572ELAALZ9CHANTH&redirect=http%3A%2F%2Fho.lazada.co.th%2FSHHYVk%3Furl%3Dhttps%253A%252F%252Fwww.lazada.co.th%252Fkingston-kingston-memory-card-micro-sd-sdhc-32-gb-class-10-32-gb-36917009.html%253Foffer_id%253D%257Boffer_id%257D%2526affiliate_id%253D%257Baffiliate_id%257D%2526offer_name%253D%257Boffer_name%257D_%257Boffer_file_id%257D%2526affiliate_name%253D%257Baffiliate_name%257D%2526transaction_id%253D%257Btransaction_id%257D%2526aff_source%253D%257Bsource%257D%26aff_sub%3D%26aff_sub2%3D%26aff_sub3%3D%26aff_sub4%3D%26aff_sub5%3D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=
MA757TBAA4P9VLANTH-10094934,"Mamy Poko กางเกงผ้าอ้อม รุ่น Happy Day & Night ไซส์ XL 54 ชิ้น",445.00,399.00,0,THB,"Mother & Baby","Diapering & Potty","Disposable Diapers",https://th-live-02.slatic.net/p/4/mamy-poko-happy-day-amp-night-xl-54-1472551087-5667987-7ea56065c536d0f5b59138abe1fa3e40-product.jpg,,,,,http://ho.lazada.co.th/SHHYVk?url=https%3A%2F%2Fwww.lazada.co.th%2Fmamy-poko-happy-day-amp-night-xl-54-7897665.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=,"Mamy Poko",http://ho.lazada.co.th/SHHWUy?sku=MA757TBAA4P9VLANTH&redirect=http%3A%2F%2Fho.lazada.co.th%2FSHHYVk%3Furl%3Dhttps%253A%252F%252Fwww.lazada.co.th%252Fmamy-poko-happy-day-amp-night-xl-54-7897665.html%253Foffer_id%253D%257Boffer_id%257D%2526affiliate_id%253D%257Baffiliate_id%257D%2526offer_name%253D%257Boffer_name%257D_%257Boffer_file_id%257D%2526affiliate_name%253D%257Baffiliate_name%257D%2526transaction_id%253D%257Btransaction_id%257D%2526aff_source%253D%257Bsource%257D%26aff_sub%3D%26aff_sub2%3D%26aff_sub3%3D%26aff_sub4%3D%26aff_sub5%3D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=
EL684ELAA63UXHANTH-13088617,"Eloop Power Bank แบตสำรอง พาวเวอร์แบงค์ ชาร์จไว ขนาดเล็ก Mini PowerSuppy Portable 20000mAh (สีดำ)",890.00,148.00,0,THB,"Mobiles & Tablets","Mobile Accessories","Power Banks",https://th-live-02.slatic.net/p/2/eloop-power-bank-mini-powersuppy-portable-20000mah-1480563278-94775201-daab8332d4b0db0febd770e7674c6f7b-product.jpg,https://th-live-01.slatic.net/p/2/eloop-power-bank-mini-powersuppy-portable-20000mah-1480563278-94775201-9b5d67ef3f0ff7febfd4b398c4f9098e-product.jpg,https://th-live-01.slatic.net/p/2/eloop-power-bank-mini-powersuppy-portable-20000mah-1480563278-94775201-bb4b96c405a369193e80d17fb11c8734-product.jpg,https://th-live-03.slatic.net/p/2/eloop-power-bank-mini-powersuppy-portable-20000mah-1480563278-94775201-6e5d9cc99bc57937938b06e7aa32f8cb-product.jpg,,http://ho.lazada.co.th/SHHYVk?url=https%3A%2F%2Fwww.lazada.co.th%2Feloop-power-bank-mini-powersuppy-portable-20000mah-10257749.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=,Eloop,http://ho.lazada.co.th/SHHWUy?sku=EL684ELAA63UXHANTH&redirect=http%3A%2F%2Fho.lazada.co.th%2FSHHYVk%3Furl%3Dhttps%253A%252F%252Fwww.lazada.co.th%252Feloop-power-bank-mini-powersuppy-portable-20000mah-10257749.html%253Foffer_id%253D%257Boffer_id%257D%2526affiliate_id%253D%257Baffiliate_id%257D%2526offer_name%253D%257Boffer_name%257D_%257Boffer_file_id%257D%2526affiliate_name%253D%257Baffiliate_name%257D%2526transaction_id%253D%257Btransaction_id%257D%2526aff_source%253D%257Bsource%257D%26aff_sub%3D%26aff_sub2%3D%26aff_sub3%3D%26aff_sub4%3D%26aff_sub5%3D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=
LE001TBAAQ9BCGANTH-53223540,"Leaper Causal Style Lightweight Canvas Laptop Bag School Backpack + Shoulder Bag + Purse Pen case - intl",4654.00,4654.00,0,THB,"Mother & Baby","Baby Gear","Backpacks & Carriers",https://th-live-02.slatic.net/p/4/leaper-causal-style-lightweight-canvas-laptop-bag-school-backpack-shoulder-bag-purse-pen-case-intl-1505588560-42640144-b4ab07d02c8ecb33ebb4482c0d418df6-product.jpg,,,,,http://ho.lazada.co.th/SHHYVk?url=https%3A%2F%2Fwww.lazada.co.th%2Fleaper-causal-style-lightweight-canvas-laptop-bag-school-backpack-shoulder-bag-purse-pen-case-intl-44104624.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=," Messenger Bag: 8.27""""Lx9.84""""Hx3.15""""D. Purse: 8.66""""Lx5.9""""H. Main compartment with double-zipper closure; 1 exterior zipper p",http://ho.lazada.co.th/SHHWUy?sku=LE001TBAAQ9BCGANTH&redirect=http%3A%2F%2Fho.lazada.co.th%2FSHHYVk%3Furl%3Dhttps%253A%252F%252Fwww.lazada.co.th%252Fleaper-causal-style-lightweight-canvas-laptop-bag-school-backpack-shoulder-bag-purse-pen-case-intl-44104624.html%253Foffer_id%253D%257Boffer_id%257D%2526affiliate_id%253D%257Baffiliate_id%257D%2526offer_name%253D%257Boffer_name%257D_%257Boffer_file_id%257D%2526affiliate_name%253D%257Baffiliate_name%257D%2526transaction_id%253D%257Btransaction_id%257D%2526aff_source%253D%257Bsource%257D%26aff_sub%3D%26aff_sub2%3D%26aff_sub3%3D%26aff_sub4%3D%26aff_sub5%3D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=
BA379ELAA7YTWIANTH-16580117,"Bangkok life ที่ยึดมือถือในรถ Car Mobile all in 1 (ติดกระจก/ติดคอนโทรลรถ/ติดช่องแอร์/เพิ่มความยาว ) เพิ่มความสะดวกสบาย ขณะขับรถ สำหรับ มือถือ android และ ios ทุกรุ่น สีดำ",280.00,75.00,0,THB,"Mobiles & Tablets","Mobile Accessories","Car Mounts",https://th-live-03.slatic.net/p/2/bangkok-life-car-mobile-all-in-1-android-ios-1498518017-07328331-f26a27c0eb78b019277fca5bea632bdb-product.jpg,https://th-live-02.slatic.net/p/2/bangkok-life-car-mobile-all-in-1-android-ios-1497529818-07328331-365a6cf4a94e7e230683312cf3feed89-product.jpg,https://th-live-01.slatic.net/p/2/bangkok-life-car-mobile-all-in-1-android-ios-1497529818-07328331-cd82375174f0defa6928eb4bbad8681e-product.jpg,https://th-live-02.slatic.net/p/2/bangkok-life-car-mobile-all-in-1-android-ios-1497529818-07328331-17f116304f1b5ac46489f8195aead9d2-product.jpg,,http://ho.lazada.co.th/SHHYVk?url=https%3A%2F%2Fwww.lazada.co.th%2Fbangkok-life-car-mobile-all-in-1-android-ios-13382370.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=,"Bangkok life",http://ho.lazada.co.th/SHHWUy?sku=BA379ELAA7YTWIANTH&redirect=http%3A%2F%2Fho.lazada.co.th%2FSHHYVk%3Furl%3Dhttps%253A%252F%252Fwww.lazada.co.th%252Fbangkok-life-car-mobile-all-in-1-android-ios-13382370.html%253Foffer_id%253D%257Boffer_id%257D%2526affiliate_id%253D%257Baffiliate_id%257D%2526offer_name%253D%257Boffer_name%257D_%257Boffer_file_id%257D%2526affiliate_name%253D%257Baffiliate_name%257D%2526transaction_id%253D%257Btransaction_id%257D%2526aff_source%253D%257Bsource%257D%26aff_sub%3D%26aff_sub2%3D%26aff_sub3%3D%26aff_sub4%3D%26aff_sub5%3D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=
SH072HLAA71NK6ANTH-14901217,"ชุดไม้ถูพื้นถังปั่น มีผ้า Microfibe ถูพื้น 2 ชิ้น GM13 BLUE2",1290.00,289.00,0,THB,"Laundry & Cleaning",Cleaning,"Brooms, Mops & Sweepers",https://th-live-02.slatic.net/p/3/microfibe-2-gm13-blue2-1505282426-20543811-dbc35ab2ebc924aaa952614200e993cd-product.jpg,https://th-live-03.slatic.net/p/3/microfibe-2-gm13-blue2-1505282426-20543811-980ece5f7137738e2526931b4d8579b1-product.jpg,https://th-live-03.slatic.net/p/3/microfibe-2-gm13-blue2-1505282426-20543811-6c054fcf0f17e9570dfac7c8b0ac7660-product.jpg,https://th-live-03.slatic.net/p/3/microfibe-2-gm13-blue2-1505282426-20543811-45ad7a296c533e27581443a4dcc0f229-product.jpg,https://th-live-02.slatic.net/p/3/microfibe-2-gm13-blue2-1505282426-20543811-bc20bb4393b81a65e1cf62bda77b58be-product.jpg,http://ho.lazada.co.th/SHHYVk?url=https%3A%2F%2Fwww.lazada.co.th%2Fmicrofibe-2-gm13-blue2-11834502.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=,None,http://ho.lazada.co.th/SHHWUy?sku=SH072HLAA71NK6ANTH&redirect=http%3A%2F%2Fho.lazada.co.th%2FSHHYVk%3Furl%3Dhttps%253A%252F%252Fwww.lazada.co.th%252Fmicrofibe-2-gm13-blue2-11834502.html%253Foffer_id%253D%257Boffer_id%257D%2526affiliate_id%253D%257Baffiliate_id%257D%2526offer_name%253D%257Boffer_name%257D_%257Boffer_file_id%257D%2526affiliate_name%253D%257Baffiliate_name%257D%2526transaction_id%253D%257Btransaction_id%257D%2526aff_source%253D%257Bsource%257D%26aff_sub%3D%26aff_sub2%3D%26aff_sub3%3D%26aff_sub4%3D%26aff_sub5%3D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=
UN355TBAAQUOEWANTH-54535786,"Cute Backpack Set for Girls, Canvas Middle School Laptop Book Bag for Kids Rucksack - intl",4974.00,4974.00,0,THB,"Mother & Baby","Baby Gear","Backpacks & Carriers",https://th-live-03.slatic.net/p/4/cute-backpack-set-for-girls-canvas-middle-school-laptop-book-bag-for-kids-rucksack-intl-1505930713-63310154-ef88b50734ccc1dd78cebd5da25175c2-product.jpg,,,,,http://ho.lazada.co.th/SHHYVk?url=https%3A%2F%2Fwww.lazada.co.th%2Fcute-backpack-set-for-girls-canvas-middle-school-laptop-book-bag-for-kids-rucksack-intl-45101336.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=," sling bag: 8.27""""Lx9.84""""Hx3.15""""D; purse:8.66""""Lx5.9""""H; capacity: 25-30L. Daypack:1*main compartment; 1* padded computer part",http://ho.lazada.co.th/SHHWUy?sku=UN355TBAAQUOEWANTH&redirect=http%3A%2F%2Fho.lazada.co.th%2FSHHYVk%3Furl%3Dhttps%253A%252F%252Fwww.lazada.co.th%252Fcute-backpack-set-for-girls-canvas-middle-school-laptop-book-bag-for-kids-rucksack-intl-45101336.html%253Foffer_id%253D%257Boffer_id%257D%2526affiliate_id%253D%257Baffiliate_id%257D%2526offer_name%253D%257Boffer_name%257D_%257Boffer_file_id%257D%2526affiliate_name%253D%257Baffiliate_name%257D%2526transaction_id%253D%257Btransaction_id%257D%2526aff_source%253D%257Bsource%257D%26aff_sub%3D%26aff_sub2%3D%26aff_sub3%3D%26aff_sub4%3D%26aff_sub5%3D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=
